# table produced by mapDamage version 2.1.0
# using mapped file mammoth_ERR852028.bam and ../elephant_reference/elephant_ref.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	52	50115
+	60	38705
+	49	62442
+	44	58468
+	67	27717
+	51	53415
+	32	52264
+	46	59876
+	132	1086
+	77	17914
+	38	70690
+	79	19374
+	95	6077
+	35	59436
+	30	48235
+	88	10331
+	64	29525
+	82	13451
+	112	2999
+	33	54342
+	61	35458
+	42	61200
+	36	62880
+	40	64973
+	31	50433
+	80	18348
+	59	41757
+	43	59660
+	57	43103
+	48	62697
+	54	45295
+	66	27838
+	37	67278
+	53	47358
+	130	1151
+	81	15648
+	113	2689
+	34	56210
+	83	12329
+	58	42851
+	69	27728
+	50	59032
+	39	69726
+	75	18467
+	47	61386
+	70	26537
+	72	21208
+	94	6621
+	45	59437
+	62	33164
+	76	18048
+	68	27748
+	41	63131
+	115	2323
+	74	19007
+	73	20188
+	122	1944
+	63	31249
+	87	9955
+	128	1165
+	84	11529
+	90	9970
+	56	43627
+	148	439
+	127	1219
+	55	44103
+	103	4280
+	116	2163
+	106	3712
+	97	5854
+	110	3664
+	86	10583
+	65	28485
+	96	5879
+	108	3640
+	71	23410
+	93	7156
+	101	5120
+	78	18479
+	149	346
+	89	10024
+	119	2167
+	85	10617
+	91	9072
+	104	4034
+	146	498
+	92	8017
+	126	1186
+	153	306
+	98	5692
+	102	4764
+	138	790
+	111	3562
+	155	277
+	147	425
+	107	3644
+	141	730
+	100	5760
+	99	5943
+	123	1668
+	160	194
+	135	810
+	145	494
+	117	2090
+	133	988
+	129	1156
+	136	793
+	121	2052
+	105	3826
+	120	2221
+	118	2149
+	109	3619
+	144	532
+	114	2450
+	125	1347
+	140	750
+	137	770
+	134	909
+	162	187
+	152	322
+	142	631
+	154	299
+	124	1438
+	139	741
+	175	82
+	165	151
+	143	583
+	131	1022
+	172	93
+	150	360
+	29	107
+	170	136
+	174	76
+	157	249
+	28	21
+	167	106
+	173	96
+	158	244
+	161	212
+	151	332
+	179	67
+	177	76
+	159	212
+	168	116
+	178	52
+	164	134
+	169	115
+	176	75
+	185	48
+	180	51
+	156	226
+	163	170
+	181	43
+	184	58
+	183	37
+	171	89
+	166	124
+	182	55
+	27	4
-	43	59605
-	32	52331
-	46	60316
-	90	10014
-	37	67380
-	62	33047
-	45	59193
-	88	10527
-	31	50549
-	49	62363
-	52	50112
-	53	47799
-	48	62131
-	40	64985
-	34	56125
-	36	63116
-	92	8047
-	79	19250
-	132	1085
-	41	62869
-	61	35391
-	84	11741
-	59	41955
-	58	43106
-	54	45585
-	66	27895
-	39	69679
-	64	29605
-	72	21356
-	30	48369
-	86	10666
-	51	53559
-	42	61705
-	57	43101
-	139	792
-	56	43156
-	69	27994
-	80	18432
-	73	20090
-	91	9141
-	60	38620
-	96	5831
-	81	15813
-	76	18021
-	77	18225
-	47	60923
-	50	59437
-	78	18726
-	74	18785
-	71	23084
-	164	166
-	63	30928
-	70	26214
-	33	54047
-	82	13565
-	35	59680
-	122	1841
-	44	58779
-	93	7135
-	144	520
-	83	11989
-	85	10720
-	103	4350
-	38	70589
-	65	28571
-	94	6515
-	107	3558
-	89	10109
-	108	3462
-	55	44236
-	67	27656
-	100	5673
-	68	27447
-	119	2123
-	117	2167
-	87	9920
-	127	1263
-	109	3604
-	121	2067
-	131	1140
-	154	280
-	75	18338
-	114	2502
-	106	3659
-	99	5855
-	101	5122
-	110	3594
-	116	2264
-	102	4774
-	95	6123
-	128	1108
-	129	1147
-	112	3089
-	113	2742
-	125	1331
-	105	3722
-	137	780
-	174	88
-	135	863
-	126	1244
-	111	3574
-	98	5829
-	147	416
-	141	727
-	152	384
-	123	1610
-	118	2117
-	104	3982
-	97	5682
-	146	424
-	155	263
-	120	2134
-	136	754
-	115	2413
-	133	985
-	124	1447
-	153	331
-	176	71
-	177	74
-	134	916
-	143	602
-	149	386
-	158	218
-	159	234
-	29	121
-	151	329
-	161	223
-	167	161
-	142	606
-	165	151
-	145	536
-	140	727
-	138	739
-	150	370
-	172	93
-	130	1113
-	184	43
-	169	123
-	170	122
-	163	162
-	162	200
-	148	405
-	156	267
-	157	247
-	173	93
-	166	147
-	171	121
-	160	177
-	179	80
-	175	73
-	181	63
-	183	41
-	182	55
-	28	19
-	168	137
-	178	62
-	180	79
-	185	39
-	27	4
