# table produced by mapDamage version 2.1.0
# using mapped file mammoth_ERR855944.bam and elephant_ref.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	32	24739
+	59	38030
+	56	39461
+	48	46954
+	50	46303
+	39	42266
+	68	30371
+	138	3833
+	67	30723
+	55	39930
+	87	18525
+	77	23454
+	52	42706
+	88	17583
+	44	44205
+	108	9957
+	78	23246
+	124	6382
+	57	38929
+	122	6975
+	41	42449
+	60	36745
+	76	24243
+	73	26288
+	100	12647
+	35	34981
+	70	29504
+	34	31956
+	81	21987
+	82	20839
+	51	44530
+	93	15016
+	105	11032
+	66	31440
+	133	5116
+	58	38715
+	71	28429
+	33	28462
+	62	34448
+	115	8241
+	45	44752
+	36	37559
+	63	33507
+	47	46590
+	80	22449
+	64	32880
+	65	31789
+	43	43733
+	42	43012
+	72	27186
+	49	46689
+	92	15993
+	102	12316
+	98	12811
+	153	1873
+	54	40740
+	119	7034
+	114	8695
+	83	20053
+	155	1686
+	40	42358
+	109	9821
+	120	7010
+	38	41856
+	126	5960
+	163	1173
+	37	40038
+	113	8989
+	94	14426
+	106	10639
+	136	4177
+	53	41592
+	97	13305
+	158	1380
+	143	3383
+	61	35854
+	123	6747
+	117	7425
+	95	13850
+	99	12536
+	75	24832
+	162	1250
+	131	5175
+	104	11284
+	169	925
+	31	21700
+	69	29631
+	172	781
+	84	19837
+	107	10249
+	103	11708
+	110	9948
+	130	5383
+	121	6931
+	79	22976
+	101	12483
+	154	1760
+	46	45534
+	128	5431
+	135	4524
+	180	590
+	91	16524
+	90	16958
+	144	3216
+	89	17371
+	30	19139
+	152	2091
+	132	5250
+	140	3480
+	116	8037
+	85	19417
+	74	25516
+	139	3665
+	125	5969
+	186	404
+	150	2195
+	145	3049
+	86	18773
+	147	2624
+	111	9874
+	148	2433
+	96	13358
+	127	5518
+	112	9443
+	118	7078
+	156	1594
+	160	1342
+	137	3872
+	134	4846
+	141	3358
+	171	775
+	161	1307
+	142	3485
+	173	804
+	149	2329
+	170	849
+	146	2825
+	129	5205
+	165	1106
+	184	430
+	151	2095
+	159	1402
+	166	1044
+	182	534
+	176	698
+	167	1025
+	178	633
+	164	1110
+	175	728
+	157	1495
+	187	387
+	168	951
+	177	636
+	183	467
+	174	727
+	185	394
+	181	527
+	179	544
+	29	56
+	188	4
+	28	2
-	130	5196
-	44	43466
-	46	45275
-	43	43174
-	107	10209
-	60	37162
-	40	42292
-	48	46857
-	63	33373
-	84	19753
-	71	28299
-	75	24793
-	82	21250
-	34	31844
-	51	44197
-	45	44588
-	86	18745
-	117	7568
-	106	10738
-	76	24025
-	65	31831
-	116	7927
-	47	46326
-	64	32445
-	92	15926
-	54	40720
-	36	37639
-	110	9748
-	121	7050
-	69	30178
-	87	18239
-	80	22727
-	94	14638
-	111	9601
-	52	43027
-	70	29276
-	120	6877
-	38	41742
-	50	45849
-	105	11059
-	115	8317
-	33	28460
-	77	23876
-	79	22901
-	74	25501
-	91	16819
-	35	35148
-	55	39973
-	101	12480
-	99	12527
-	152	2000
-	49	46814
-	108	9887
-	59	38347
-	113	8851
-	57	39236
-	32	25035
-	39	41887
-	96	13487
-	127	5595
-	58	38571
-	98	12853
-	42	43233
-	168	950
-	37	40285
-	93	15168
-	30	19048
-	68	30426
-	103	11713
-	67	30894
-	81	21806
-	102	12020
-	114	8557
-	126	5793
-	56	39798
-	62	34459
-	109	9911
-	125	6028
-	90	16881
-	151	2055
-	73	26140
-	147	2583
-	122	6925
-	118	7256
-	85	19241
-	112	9237
-	89	17274
-	169	913
-	124	6287
-	53	41801
-	31	21705
-	133	5147
-	41	42346
-	128	5281
-	72	27344
-	104	11342
-	66	31220
-	165	1111
-	61	35305
-	145	3125
-	88	18019
-	83	20263
-	136	4134
-	138	3833
-	182	466
-	123	6684
-	129	5273
-	78	23220
-	131	5095
-	154	1775
-	100	12466
-	157	1551
-	179	566
-	158	1447
-	160	1291
-	95	14056
-	170	886
-	119	7034
-	143	3429
-	134	4808
-	135	4377
-	161	1293
-	139	3616
-	97	13089
-	159	1396
-	137	3867
-	149	2316
-	132	5021
-	146	2741
-	183	487
-	155	1672
-	163	1135
-	142	3368
-	178	598
-	156	1645
-	167	976
-	141	3556
-	148	2509
-	166	1103
-	140	3341
-	144	3202
-	150	2187
-	175	709
-	173	765
-	162	1281
-	186	428
-	176	655
-	164	1126
-	181	517
-	174	714
-	153	1950
-	29	38
-	185	399
-	171	837
-	180	544
-	177	597
-	172	840
-	187	373
-	184	457
-	28	5
-	27	1
-	188	3
